distance_bin,"Comber, stokes, surface, no land contact","Comber, no stokes, surface, no land contact","Comber, no stokes, all depths, no land contact","Comber, stokes, surface, noslip","Comber, no stokes, surface, noslip","Comber, no stokes, all depths, noslip","Striped red mullet, stokes, surface, no land contact","Striped red mullet, no stokes, surface, no land contact","Striped red mullet, no stokes, all depths, no land contact","Striped red mullet, stokes, surface, noslip","Striped red mullet, no stokes, surface, noslip","Striped red mullet, no stokes, all depths, noslip","White seabream, stokes, surface, no land contact","White seabream, no stokes, surface, no land contact","White seabream, no stokes, all depths, no land contact","White seabream, stokes, surface, noslip","White seabream, no stokes, surface, noslip","White seabream, no stokes, all depths, noslip"
315.0,0.114603003711987,0.10897100931438423,0.08865195513240008,0.04966207284207087,0.05749318113746658,0.054136770898995545,0.0612624890212449,0.09841695642854026,0.07926301352631816,0.0338003777052691,0.06194881586475597,0.052884877271912496,0.08030961647304469,0.11180661667207302,0.0903915558450858,0.039062619019054466,0.06371770021772936,0.057197929841416965
345.0,0.11835344123881204,0.09266156375479358,0.0774022251954801,0.049079289969435516,0.04838851233253645,0.046276025734635386,0.07593340496100434,0.09868613619851392,0.08324354440860586,0.03756843255577845,0.055445813116670815,0.05171313723483298,0.0919476696446769,0.103198531225043,0.0857812195030514,0.04261558858527015,0.05318411419134569,0.051759589441272805
375.0,0.1171249360859976,0.08071951457128929,0.06432173267101184,0.04513807113892277,0.040412632569491534,0.03862288654231424,0.08842611939313694,0.09413068592468657,0.07905615660112278,0.0390475775609772,0.04876287936450429,0.047692951875827214,0.09238310833300342,0.0919159727320324,0.07658295376800894,0.040875967828945536,0.046755927140948964,0.046288913998479335
405.0,0.09989048999443442,0.060983467177980866,0.0524601494006069,0.038413834615552325,0.033037102244139964,0.03211134629271351,0.09486443528509572,0.08815321502891928,0.07038361529230934,0.03880659628083818,0.04579067627697688,0.043330279278982885,0.10852485670800104,0.08349645776779972,0.06578157908842662,0.04145988806223922,0.04340606373288471,0.04084818636235143
435.0,0.07463872485778676,0.0397632370432338,0.03995704786644911,0.030316154637950062,0.02355309601231542,0.02410767098342999,0.09375961328389043,0.075796347198273,0.060120190673166374,0.03675667159609585,0.039988170900082505,0.037123657377020766,0.10891012120252376,0.06839835547095079,0.05425196010283444,0.0394565423346016,0.036315390055338084,0.03383287721789348
465.0,0.052865913293128,0.02570326534599749,0.028792261486402945,0.02416746754345526,0.015857522927110082,0.017157145249606917,0.08771798052489813,0.05734812517902636,0.048754571084738296,0.03508028141273305,0.030656883128804206,0.029907465867835107,0.0941793215605888,0.0486782756370493,0.044196426317546056,0.036329520710947735,0.02690635376566732,0.026126521958661775
495.0,0.037192712683072636,0.015615654891643828,0.01969121625423801,0.01770422037486514,0.010585340725927254,0.012100530667675795,0.07834967499952346,0.043494490256223484,0.03991875680029923,0.031955155592589754,0.023474552457991446,0.023647141415958868,0.06535889807023178,0.03371294628545196,0.03422985567279632,0.028324838943415486,0.01929042510026084,0.01967666408519408
525.0,0.02655058616550129,0.01027994099887293,0.013780324003878687,0.013069343921112966,0.0074720878441861295,0.008699181607092184,0.06394696876388382,0.03247564292990513,0.031583634939259336,0.027099220676833482,0.01850105547698597,0.01914515831565192,0.04820933571750105,0.021518035068300332,0.0247442875338115,0.022899321339749208,0.013815722091934808,0.015432593222062288
555.0,0.016650474770281396,0.007995415570151371,0.009429235462641938,0.008399237827236332,0.0056371637717253075,0.005959524981579767,0.04968577666536168,0.021970168517159026,0.02440943137386964,0.021273770145505216,0.013697609634354936,0.015140037610908213,0.03750415598116713,0.012688715719415659,0.018715579569449282,0.017656442725854638,0.008756119830484656,0.011871469640772198
585.0,0.010012517299459804,0.00678952820777979,0.0069792018703933225,0.005198186351699305,0.004615236165780056,0.0043569040652470786,0.038611896791637526,0.016083461615799467,0.01902079880481233,0.017222298621120048,0.0102418363674912,0.011577591054532398,0.02364576872546734,0.009847754084646507,0.013280100196222435,0.011356339104465268,0.006768744565904627,0.008287393901375088
